,artist,track,energy,valence,preview_url
20,élena,Setanta matins,370.0,350.0,https://p.scdn.co/mp3-preview/f5e9e9c39ecd23b2fd66727907fe94322b44ceef?cid=783e5bc2e5034e4daea6385e965c1e1f
21,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,990.0,290.0,https://p.scdn.co/mp3-preview/251469ed024ac36add6b7bf8a3ad0c03ff1320b2?cid=783e5bc2e5034e4daea6385e965c1e1f
22,Sue Thompson,James (Hold the Ladder Steady),570.0,960.0,https://p.scdn.co/mp3-preview/fd0455a3a3b8b9d799f0f42c47fb4edc19ce3902?cid=783e5bc2e5034e4daea6385e965c1e1f
23,Five Bolt Main,Made Like This,990.0,110.0,https://p.scdn.co/mp3-preview/74f7d3339755e075f2f7c68aa81cc9e3e92d870a?cid=783e5bc2e5034e4daea6385e965c1e1f
24,CLP,Superconfidential,860.0,710.0,https://p.scdn.co/mp3-preview/fbe1ddccc55528f2d3f7440df387d6c799cf4ebe?cid=783e5bc2e5034e4daea6385e965c1e1f
28,John Wesley,The Emperor Falls,570.0,590.0,https://p.scdn.co/mp3-preview/284540cb1367cf6074b7e1a4336b71c41b12f877?cid=783e5bc2e5034e4daea6385e965c1e1f
29,The Shangri-Las,Twist And Shout - Version 2 - Live / Version 2,920.0,710.0,https://p.scdn.co/mp3-preview/cf8a4d1eaad7ae76c155ffed36da74c6d3281ba8?cid=783e5bc2e5034e4daea6385e965c1e1f
30,Billie Jo Spears,It Makes No Difference Now,410.0,930.0,https://p.scdn.co/mp3-preview/df9d3ad301a721e8be8e821df367cc54725ba418?cid=783e5bc2e5034e4daea6385e965c1e1f
31,Butthole Surfers,"Barking Dogs - From ""Piouhgd""",900.0,120.0,https://p.scdn.co/mp3-preview/9df806e99674a5b773865b5de9292818c6283c19?cid=783e5bc2e5034e4daea6385e965c1e1f
33,Jacob Young,In a Subtle Way,170.0,630.0,https://p.scdn.co/mp3-preview/e219fb49d0d2937bbccebe955b55d87fbbc6b30f?cid=783e5bc2e5034e4daea6385e965c1e1f
34,The Suicide Machines,Burning In The Aftermath,1000.0,150.0,https://p.scdn.co/mp3-preview/611865a81f7247b78dd424ef05cc5f988ad9070a?cid=783e5bc2e5034e4daea6385e965c1e1f
37,R.L. Burnside,Glory Be,700.0,730.0,https://p.scdn.co/mp3-preview/02a4b9201fa7b21b883463a5e6a7dd335adb1a29?cid=783e5bc2e5034e4daea6385e965c1e1f
38,Stevie Ray Vaughan,Crossfire,720.0,890.0,https://p.scdn.co/mp3-preview/dea65d7413e3a12ba571c436de071ce127f8b882?cid=783e5bc2e5034e4daea6385e965c1e1f
39,John Hammond,I Can't Be Satisfied,530.0,910.0,https://p.scdn.co/mp3-preview/855425b87bad065be3967bbf089a69a2b7f3d81d?cid=783e5bc2e5034e4daea6385e965c1e1f
40,Casiotone For The Painfully Alone,Nashville Parthenon,420.0,850.0,https://p.scdn.co/mp3-preview/f96528db8767937771c91fdc1fe959b91da649fe?cid=783e5bc2e5034e4daea6385e965c1e1f
41,Ec8or,Cocain Ducks,850.0,170.0,https://p.scdn.co/mp3-preview/028d25524173ae6aba75d690885952d4c7b6fb78?cid=783e5bc2e5034e4daea6385e965c1e1f
43,Yamandú Costa,Mafuá,330.0,840.0,https://p.scdn.co/mp3-preview/e2eea1593780c6c3ca61daf835812cae77cd43d9?cid=783e5bc2e5034e4daea6385e965c1e1f
44,Chris Rea,Driving Home for Christmas,660.0,890.0,https://p.scdn.co/mp3-preview/ceedafb966b1e9336e126bbca99daec3b87914c3?cid=783e5bc2e5034e4daea6385e965c1e1f
46,Francis Dunnery,Too Much Saturn,820.0,910.0,https://p.scdn.co/mp3-preview/2982ba60793dca3ee85d184a532888c31a49addd?cid=783e5bc2e5034e4daea6385e965c1e1f
47,Suzanne Ciani,Stream,420.0,290.0,https://p.scdn.co/mp3-preview/a7b5bdc48268d6eb1de09e0bfc57baf8f01dff09?cid=783e5bc2e5034e4daea6385e965c1e1f
48,Vickie Winans,Make Me Over v1.1,750.0,690.0,https://p.scdn.co/mp3-preview/b7a4c2d3c76698b6a5cb15a8907acb7a402b95a0?cid=783e5bc2e5034e4daea6385e965c1e1f
49,The Berzerker,Deform (live),1000.0,50.0,https://p.scdn.co/mp3-preview/38c3752b27c96ba4f0159d0b84dd5a47720a3b91?cid=783e5bc2e5034e4daea6385e965c1e1f
50,Kings of Leon,Wicker Chair,700.0,480.0,https://p.scdn.co/mp3-preview/2303271de850dde83b18710edc09d3bdc0e993cc?cid=783e5bc2e5034e4daea6385e965c1e1f
51,Various Artists,An ti chans',950.0,910.0,https://p.scdn.co/mp3-preview/83ddf7c7aa34815859795d4f44052837cef640ca?cid=783e5bc2e5034e4daea6385e965c1e1f
52,Taras,I Will Love Again - JJ's Club Radio,890.0,760.0,https://p.scdn.co/mp3-preview/6e4edd92171049298fecfce4ddd920ce97f770f0?cid=783e5bc2e5034e4daea6385e965c1e1f
53,NOFX,Stickin In My Eye,970.0,230.0,https://p.scdn.co/mp3-preview/62ad3e381610c531886e62da7529f6941b217538?cid=783e5bc2e5034e4daea6385e965c1e1f
54,Murskahumppa,Ota Kiinni,610.0,290.0,https://p.scdn.co/mp3-preview/127a22990eb6adf9e17702692bda404a5a233059?cid=783e5bc2e5034e4daea6385e965c1e1f
55,Xcultures,Sudanese Dance,800.0,830.0,https://p.scdn.co/mp3-preview/b6e64b69848644dd7b3ae1904ed57e84e24bfc09?cid=783e5bc2e5034e4daea6385e965c1e1f
57,Love Generation,Let get it started,530.0,800.0,https://p.scdn.co/mp3-preview/14745e830dfe15d163c0cb7969b30b89d6828ba5?cid=783e5bc2e5034e4daea6385e965c1e1f
59,Nadine Renee,Next Time,590.0,280.0,https://p.scdn.co/mp3-preview/cb16fb26d8b1b2ef788af2e3cd3d5e7b693142fc?cid=783e5bc2e5034e4daea6385e965c1e1f
62,Suburbs,Monde de fou,920.0,850.0,https://p.scdn.co/mp3-preview/a1c222849651c34396e0db715377755ccac71074?cid=783e5bc2e5034e4daea6385e965c1e1f
63,Julien Clerc,This Melody - Live,490.0,500.0,https://p.scdn.co/mp3-preview/9c435620c7d8e2f0759abd18d8f6e820d1a6ef8c?cid=783e5bc2e5034e4daea6385e965c1e1f
64,T.G. Sheppard,You Feel Good All Over - Rerecorded,300.0,340.0,https://p.scdn.co/mp3-preview/a80a437e17224689ea2618a82dd60e32e2f2688f?cid=783e5bc2e5034e4daea6385e965c1e1f
66,Savage Garden,You Can Still Be Free,360.0,40.0,https://p.scdn.co/mp3-preview/e881e1d32fdc1e0265a256e6fe3f10ddb7a0cec4?cid=783e5bc2e5034e4daea6385e965c1e1f
68,Hank Penny and The Lincoln Penny Orchestra,Dixie,300.0,660.0,https://p.scdn.co/mp3-preview/938ee0ca49aa33285e677f11183db7184626e31c?cid=783e5bc2e5034e4daea6385e965c1e1f
69,Inspiral Carpets,Commercial Reign,900.0,760.0,https://p.scdn.co/mp3-preview/ba3fca95b67d010d1837ea7af11e18dba71664a9?cid=783e5bc2e5034e4daea6385e965c1e1f
71,The Dirty Skirts,Wake,930.0,560.0,https://p.scdn.co/mp3-preview/1744ee8195ffc9c67ed3acd29182088c49254b7d?cid=783e5bc2e5034e4daea6385e965c1e1f
72,Flor Silvestre,Caricia Y Herida,490.0,900.0,https://p.scdn.co/mp3-preview/936ed3059c256a026f3f0bc3fac215de3ff30b7e?cid=783e5bc2e5034e4daea6385e965c1e1f
74,Schizoid,Grim Prospects - Gross Prospects - Bad Trip Remix,1000.0,40.0,https://p.scdn.co/mp3-preview/f5cd0618d28d037687265361d3f7d273e0a561ba?cid=783e5bc2e5034e4daea6385e965c1e1f
76,Sonny Simmons,A Distant Voice,10.0,80.0,https://p.scdn.co/mp3-preview/464c069610d52e8141bb1b1256830a9c1e3244a7?cid=783e5bc2e5034e4daea6385e965c1e1f
77,Mira,Openbare Weg,340.0,180.0,https://p.scdn.co/mp3-preview/096a04f2374f4a6b94e102f34d3b3d0c12b8bd3d?cid=783e5bc2e5034e4daea6385e965c1e1f
78,Various Artists,President Johnson - Original Mix,800.0,330.0,https://p.scdn.co/mp3-preview/4734f9a5a6a3b538cb62f6e8fd0f8f5b0e54c8d8?cid=783e5bc2e5034e4daea6385e965c1e1f
79,Ellen McIlwaine,Spontanous Combustion,590.0,760.0,https://p.scdn.co/mp3-preview/980f54f3b825586de6fb054f695327d4b36aec08?cid=783e5bc2e5034e4daea6385e965c1e1f
81,Maurice Chevalier,Ma Louise,280.0,490.0,https://p.scdn.co/mp3-preview/8d83ffd45c1799fdf5b3a788a7e05e71937fcf9c?cid=783e5bc2e5034e4daea6385e965c1e1f
82,Carl Cox vs Yousef,I Want You (Forever) - Yousef's Tribute Mix,970.0,290.0,https://p.scdn.co/mp3-preview/ea3543b81aec4f1aa3e3561177500577d033e90d?cid=783e5bc2e5034e4daea6385e965c1e1f
84,Martina McBride,I Can't Stop Loving You,240.0,360.0,https://p.scdn.co/mp3-preview/a6fa0bd44c0dfcec712abd367325bf2bbdf24e78?cid=783e5bc2e5034e4daea6385e965c1e1f
85,Horace Andy,Thank You Lord,560.0,870.0,https://p.scdn.co/mp3-preview/7f9930d6444e5b8cd96d63b8d7ae8640a3ef696e?cid=783e5bc2e5034e4daea6385e965c1e1f
86,Tyrone Davis,Cheatin' In the Next Room,440.0,710.0,https://p.scdn.co/mp3-preview/0a7b572c98f03e9f03ef10aa9f22dd8ef94fd355?cid=783e5bc2e5034e4daea6385e965c1e1f
87,Hot Tuna,Candy Man,410.0,650.0,https://p.scdn.co/mp3-preview/8f1ca402d4d3364e75be9ffe87e7fbb7b58308ac?cid=783e5bc2e5034e4daea6385e965c1e1f
88,Richard Burton,I See the Boys of Summer,40.0,430.0,https://p.scdn.co/mp3-preview/dba15b26018c76e0b7fef87468af7239543f4c93?cid=783e5bc2e5034e4daea6385e965c1e1f
89,Rory Block,Three Is a Crowd,230.0,340.0,https://p.scdn.co/mp3-preview/285b4ecdd9fc2411a9c4cd554722a0997efa3515?cid=783e5bc2e5034e4daea6385e965c1e1f
91,Howard Armstrong,My Four Reasons,420.0,930.0,https://p.scdn.co/mp3-preview/131f8ab72b5b04e5f3ce73920d048f57abc9184e?cid=783e5bc2e5034e4daea6385e965c1e1f
92,Miguel Gallardo,Eternamente Ámame,460.0,350.0,https://p.scdn.co/mp3-preview/7258cf9df7acde3aca38fff52a76efaffe1a2be8?cid=783e5bc2e5034e4daea6385e965c1e1f
93,Les Ogres De Barback,Niev nietch nievitch - Instrumental,760.0,930.0,https://p.scdn.co/mp3-preview/e82d926ac295396372dabf088bc9c1a7f0f6b9f7?cid=783e5bc2e5034e4daea6385e965c1e1f
95,The Roches,Christlike Roche,120.0,160.0,https://p.scdn.co/mp3-preview/138f04ad40a0b9a77d1e432e136d7adc045be386?cid=783e5bc2e5034e4daea6385e965c1e1f
96,Bob Margolin,You Rascal You,350.0,960.0,https://p.scdn.co/mp3-preview/42fca1a9ab5d7c5c7dc5366ec29d4cd61924017b?cid=783e5bc2e5034e4daea6385e965c1e1f
97,The Verve Pipe,Medicate Myself,780.0,420.0,https://p.scdn.co/mp3-preview/ce0662b2544f6c2e642e10a10d21f85d3cd70f8b?cid=783e5bc2e5034e4daea6385e965c1e1f
98,Bob Neuwirth,Biding Her Time,60.0,330.0,https://p.scdn.co/mp3-preview/948504b63e8399a45369516df4a304d2f296317f?cid=783e5bc2e5034e4daea6385e965c1e1f
99,James Hunter,Cowboy Ways,650.0,700.0,https://p.scdn.co/mp3-preview/f31e553363b33ccc50840c3c70552a441df2902e?cid=783e5bc2e5034e4daea6385e965c1e1f
100,Nelson Ned,Brasas Vivas,330.0,370.0,https://p.scdn.co/mp3-preview/5aaf1e601412c9fb7bed7234100fa43a1be39ddd?cid=783e5bc2e5034e4daea6385e965c1e1f
102,Porcupine Tree,Waiting Phase One,440.0,460.0,https://p.scdn.co/mp3-preview/af2b930326b90a98e0b57b84b7bb4c2f290e7db8?cid=783e5bc2e5034e4daea6385e965c1e1f
103,Foo Fighters,Hell,940.0,310.0,https://p.scdn.co/mp3-preview/459d314261f495861425d4728b504bf7dbf02c3a?cid=783e5bc2e5034e4daea6385e965c1e1f
104,Brazilian Tropical Orchestra,One Less Bell to Answer,390.0,220.0,https://p.scdn.co/mp3-preview/e2e83a96ac9182e3bc46c6da1a3f7ee7d2cca8a8?cid=783e5bc2e5034e4daea6385e965c1e1f
105,Gil Semedo,Festa,910.0,960.0,https://p.scdn.co/mp3-preview/ecabdecffbb5e58fce6088ce1e3b607f3aab3272?cid=783e5bc2e5034e4daea6385e965c1e1f
106,Soda Stereo,Te Hacen Falta Vitaminas - Remasterizado 2007,970.0,950.0,https://p.scdn.co/mp3-preview/896be0d13b924de550d4d2bf8710a83ba0c4b556?cid=783e5bc2e5034e4daea6385e965c1e1f
107,Xmilk,Sense And Trick,940.0,580.0,https://p.scdn.co/mp3-preview/08d109823fe63c94b4dfbc06840072d6fa4b3c96?cid=783e5bc2e5034e4daea6385e965c1e1f
109,Schizoid,Grim Prospects - Version 2 Remix,950.0,70.0,https://p.scdn.co/mp3-preview/07148a3149e47ee43cb3943e3445ada6daf2e2a7?cid=783e5bc2e5034e4daea6385e965c1e1f
111,Sven Tasnadi,2190 Dias Contigo,340.0,350.0,https://p.scdn.co/mp3-preview/142994e3bc44ff14d332f68a7105368d993abb61?cid=783e5bc2e5034e4daea6385e965c1e1f
112,Eddie Money,No Control,600.0,710.0,https://p.scdn.co/mp3-preview/5e860b8fa160aeeef634d74b602123ad188fff42?cid=783e5bc2e5034e4daea6385e965c1e1f
113,Enthroned,The Vitalized Shell,990.0,30.0,https://p.scdn.co/mp3-preview/225f853ca2296a9594ad56aaac7c64f210d73f59?cid=783e5bc2e5034e4daea6385e965c1e1f
114,Suzanne Ciani,Meeting Mozart,90.0,80.0,https://p.scdn.co/mp3-preview/687be6130eaba5a5f8074c3c1ccfd9e532cc58c2?cid=783e5bc2e5034e4daea6385e965c1e1f
115,Milan Band,Ciao Milan,660.0,730.0,https://p.scdn.co/mp3-preview/a754f313ebc4e43daa3569d592754f712dc0d75c?cid=783e5bc2e5034e4daea6385e965c1e1f
116,Various Artists,Lend Me Your Chopper,680.0,550.0,https://p.scdn.co/mp3-preview/0142bca050b77ed34ee648f526916f8c4ad5170a?cid=783e5bc2e5034e4daea6385e965c1e1f
117,Dolly Parton,Letter To Heaven,400.0,340.0,https://p.scdn.co/mp3-preview/f605eb3074f113e8fa32eb556f83de9eb8de6402?cid=783e5bc2e5034e4daea6385e965c1e1f
119,Pearl Jam,Inside Job,490.0,70.0,https://p.scdn.co/mp3-preview/5a218118ad2f8ed0fec53a7bcfe0472c7dd56698?cid=783e5bc2e5034e4daea6385e965c1e1f
120,Kiril Valeri,Bulgarian Dream - Feat. Boika Prissadova,910.0,500.0,https://p.scdn.co/mp3-preview/4c1343f6d9355a5a8976d9ed99195ecffcfe6c75?cid=783e5bc2e5034e4daea6385e965c1e1f
121,Word,Amalgama,890.0,740.0,https://p.scdn.co/mp3-preview/fc48e5a62884a46b240bf3b443dcb91ad3269e2c?cid=783e5bc2e5034e4daea6385e965c1e1f
122,DJ Quik,Born and Raised In Compton,440.0,860.0,https://p.scdn.co/mp3-preview/b37ec0e8d3efb29196bd2f62235bf0bc202cf72e?cid=783e5bc2e5034e4daea6385e965c1e1f
123,The Jordanaires,Sweet By And By,240.0,480.0,https://p.scdn.co/mp3-preview/4480507a1d6992443dd2afddbe85e7c4c9e445c3?cid=783e5bc2e5034e4daea6385e965c1e1f
124,Descendents,Orgofart,210.0,40.0,https://p.scdn.co/mp3-preview/12b9ea9997de9f0c54c2dc594d8d7d372bf0ce48?cid=783e5bc2e5034e4daea6385e965c1e1f
126,Bare Jr.,Naked Albino,710.0,370.0,https://p.scdn.co/mp3-preview/e48b81819e0d2473e0286ca62fc544e841b3ff1c?cid=783e5bc2e5034e4daea6385e965c1e1f
127,Gary Hobbs,The Look Of Love,520.0,710.0,https://p.scdn.co/mp3-preview/7a3466a18ac583a17358f3eb2167237691898bf4?cid=783e5bc2e5034e4daea6385e965c1e1f
128,Diesel Boy,Cooler Than You,970.0,740.0,https://p.scdn.co/mp3-preview/96cf72ef46ab83704f55444e23488e7ea33036f0?cid=783e5bc2e5034e4daea6385e965c1e1f
129,Cradle Of Filth,Summer Dying Fast,950.0,60.0,https://p.scdn.co/mp3-preview/2e6da959ccc98d49aa3d3172a8c65ace5ff4106b?cid=783e5bc2e5034e4daea6385e965c1e1f
130,Jim Chappell,Still,110.0,40.0,https://p.scdn.co/mp3-preview/ea4feaddc51307a1d1b4ff4003bcd09e41f35ed8?cid=783e5bc2e5034e4daea6385e965c1e1f
132,Susana Seivane,Para Milladoiro,490.0,220.0,https://p.scdn.co/mp3-preview/6a70bea229e4f94180c3d6b83a5a667fef284e11?cid=783e5bc2e5034e4daea6385e965c1e1f
133,Test Icicles,Snowball,930.0,650.0,https://p.scdn.co/mp3-preview/b336c5fc524f3192939f0d0ae7d07b6981da0750?cid=783e5bc2e5034e4daea6385e965c1e1f
135,Mance Lipscomb,Going Down Slow,70.0,670.0,https://p.scdn.co/mp3-preview/479bd18217a56295b6bb3c0497a3b3182d1ec911?cid=783e5bc2e5034e4daea6385e965c1e1f
137,Moss,Silent Hill,700.0,130.0,https://p.scdn.co/mp3-preview/509765ba77bbb89351cefaf661f0e5717d18f96a?cid=783e5bc2e5034e4daea6385e965c1e1f
138,Various Artists,Our Love is Here to Stay,300.0,450.0,https://p.scdn.co/mp3-preview/7af5650a2b6ff2e6ad81d975f112a35c9382f4d4?cid=783e5bc2e5034e4daea6385e965c1e1f
139,Soular,Everything Changes,710.0,220.0,https://p.scdn.co/mp3-preview/66048807344ff39adf98df8d9e6e277d79ab640b?cid=783e5bc2e5034e4daea6385e965c1e1f
140,Dimmu Borgir,Master Of Disharmony,960.0,120.0,https://p.scdn.co/mp3-preview/63e7f7371023a7c63297ae65e13a67b25e22cf47?cid=783e5bc2e5034e4daea6385e965c1e1f
141,Public Image Ltd.,This Is Not a Love Song / Poptones - Live at O2 Shepherd's Bush Empire,700.0,440.0,https://p.scdn.co/mp3-preview/63b64f59a53a990479ce2a4ae162c06a3fab41fc?cid=783e5bc2e5034e4daea6385e965c1e1f
143,Pascal Sangla,Une petite pause,270.0,300.0,https://p.scdn.co/mp3-preview/3ce934362c07f4cab10940cd8a36b314fbe7527a?cid=783e5bc2e5034e4daea6385e965c1e1f
144,The B-52's,Wig,940.0,800.0,https://p.scdn.co/mp3-preview/bdefac029ce5d821fd08bd8f01af3f43b8c8c1d6?cid=783e5bc2e5034e4daea6385e965c1e1f
147,Chris Brown,Forever,820.0,440.0,https://p.scdn.co/mp3-preview/9367a47e126b84c9b3cc30e286a1e56db5b6b992?cid=783e5bc2e5034e4daea6385e965c1e1f
148,Hem,Have Yourself A Merry Little Christmas,70.0,330.0,https://p.scdn.co/mp3-preview/1f93b078bf7eb60dc494ad6bb75d3611dfdcf794?cid=783e5bc2e5034e4daea6385e965c1e1f
149,Lily Allen,U Killed It,650.0,600.0,https://p.scdn.co/mp3-preview/6c102d49ded684421ca1662a31bceb48845b6c9b?cid=783e5bc2e5034e4daea6385e965c1e1f
150,Pentangle,Rain and Snow,660.0,860.0,https://p.scdn.co/mp3-preview/07d65507d95e8bdf097a4f4451185529d5014d71?cid=783e5bc2e5034e4daea6385e965c1e1f
151,DJ Dips,Gerra De De,900.0,920.0,https://p.scdn.co/mp3-preview/82a2002dfc8eb80b1fd471dc452b61d3215f560f?cid=783e5bc2e5034e4daea6385e965c1e1f
152,Various Artists,Kako Mi Je Pitas Sad,530.0,920.0,https://p.scdn.co/mp3-preview/9ccfabd05d6017f153e767bd0fca0da0758603f7?cid=783e5bc2e5034e4daea6385e965c1e1f
154,Busdriver,(Bloody Paw On The) Kill Floor,840.0,730.0,https://p.scdn.co/mp3-preview/cc12d78b6c44556c2ee934f9d15bb35d9bae7d15?cid=783e5bc2e5034e4daea6385e965c1e1f
155,Byther Smith,I Wish My Mother Was Here,510.0,780.0,https://p.scdn.co/mp3-preview/af0dc310187e2e6c5a632e986d55f2abcb1f4399?cid=783e5bc2e5034e4daea6385e965c1e1f
156,Bebo Valdés,Inolvidable - En Vivo,340.0,490.0,https://p.scdn.co/mp3-preview/3c8a2aecc3c3d1833fb86b966a88997aafc613b4?cid=783e5bc2e5034e4daea6385e965c1e1f
158,Bongzilla,Witch Weed - Live,900.0,190.0,https://p.scdn.co/mp3-preview/372faf0da2a9035246680604c414b50ced54a6e1?cid=783e5bc2e5034e4daea6385e965c1e1f
159,The Gone Jackals,Not Buried Deep Enough,890.0,220.0,https://p.scdn.co/mp3-preview/835a3e77002a57cc6d4583123f8044d297c6ac65?cid=783e5bc2e5034e4daea6385e965c1e1f
161,Boogie Pimps,Get Back Down - Original,470.0,320.0,https://p.scdn.co/mp3-preview/666bd58b1ae698ccff5c113579ef1b8220bb594a?cid=783e5bc2e5034e4daea6385e965c1e1f
162,Brian Keane,Battle Of The Rosebud / Cries,70.0,40.0,https://p.scdn.co/mp3-preview/9adcc8a25e9b5a9b211a88c2ac9b676f463f49f3?cid=783e5bc2e5034e4daea6385e965c1e1f
163,Aberdeen,Beyond the Light,840.0,660.0,https://p.scdn.co/mp3-preview/5f06d32c3ff5bbb4d380458b1d2e53336450676b?cid=783e5bc2e5034e4daea6385e965c1e1f
165,20/20,It Goes On,600.0,380.0,https://p.scdn.co/mp3-preview/f993344fc3e93ae3b53c717b47348cfd3413b5e9?cid=783e5bc2e5034e4daea6385e965c1e1f
166,Orbital,Illuminate,840.0,530.0,https://p.scdn.co/mp3-preview/bb3d02fdb457ed7ff1254894c1e5be174563da43?cid=783e5bc2e5034e4daea6385e965c1e1f
169,Rage Against The Machine,Kick out the Jams,940.0,500.0,https://p.scdn.co/mp3-preview/81ebdb8f179eeeaa12fd421cd5cfd064e4b49719?cid=783e5bc2e5034e4daea6385e965c1e1f
170,Jazz Gillum,Me And My Buddy,300.0,830.0,https://p.scdn.co/mp3-preview/a06682130767cd85f9c59d4ff76956b7c30a751e?cid=783e5bc2e5034e4daea6385e965c1e1f
171,Rise Against,Amber Changing,970.0,520.0,https://p.scdn.co/mp3-preview/a9c2063705b2a96f3f392a5b79774df6e3788a6d?cid=783e5bc2e5034e4daea6385e965c1e1f
172,Ultraviolence,Murder Academy,940.0,30.0,https://p.scdn.co/mp3-preview/fb44ced387595f02ab88a227342e395065e44684?cid=783e5bc2e5034e4daea6385e965c1e1f
173,Korn,Hey Daddy,800.0,490.0,https://p.scdn.co/mp3-preview/45a80f3ea21e8530d5ec47d46185fc1ce4c75c81?cid=783e5bc2e5034e4daea6385e965c1e1f
174,Agnes,I Need You Now,660.0,290.0,https://p.scdn.co/mp3-preview/663ae117a1c707e53e676ebb5f97a02388c6c140?cid=783e5bc2e5034e4daea6385e965c1e1f
176,Tantric,Walk Away,970.0,870.0,https://p.scdn.co/mp3-preview/ca272960bfe9aa0ac2b7e5eabfd2fc53d993140e?cid=783e5bc2e5034e4daea6385e965c1e1f
177,Mastodon,Shadows That Move,970.0,560.0,https://p.scdn.co/mp3-preview/20149d86428b69cac8a4e76f323abbf90e538354?cid=783e5bc2e5034e4daea6385e965c1e1f
178,Xcultures,Smile,300.0,420.0,https://p.scdn.co/mp3-preview/c4f284e51ddb1c17b8add2d4d111824222ffeb27?cid=783e5bc2e5034e4daea6385e965c1e1f
179,The Irish Tenors,Mountains Of Mourne,140.0,260.0,https://p.scdn.co/mp3-preview/48a87a97329a9bdcb2cf66fe1653378179389d2a?cid=783e5bc2e5034e4daea6385e965c1e1f
181,Korn,Ever Be,900.0,320.0,https://p.scdn.co/mp3-preview/06fa111a53fbbed4e3a161824aa7424893a715eb?cid=783e5bc2e5034e4daea6385e965c1e1f
182,Percy Faith & His Orchestra,Yesterdays,320.0,240.0,https://p.scdn.co/mp3-preview/fb88f8fd2de22b47518625de70452057032cf91f?cid=783e5bc2e5034e4daea6385e965c1e1f
183,Prozak,Go To Hell,720.0,260.0,https://p.scdn.co/mp3-preview/d38ac2b0c469c1fdf3625270f854fc936eb5b712?cid=783e5bc2e5034e4daea6385e965c1e1f
184,Yvette Horner,La plus bath des javas,490.0,960.0,https://p.scdn.co/mp3-preview/591bcc59569b39d23d546cebd6a4314a85cac65f?cid=783e5bc2e5034e4daea6385e965c1e1f
185,Delta 9,Infidel,910.0,300.0,https://p.scdn.co/mp3-preview/1cbac1bd3d19c30c98e7fb0d67f50496af62f84f?cid=783e5bc2e5034e4daea6385e965c1e1f
186,Placebo,English Summer Rain,910.0,520.0,https://p.scdn.co/mp3-preview/11da58fcf108bc9cf75fe382751f3f406ea82fbf?cid=783e5bc2e5034e4daea6385e965c1e1f
